Title,Author ,MF,Series,Rating,Year,Date Read,Owned?,Keywords,Century,Drama,SF,Fantasy,Detectives,Spies,Comedy,History,Non-fiction,Stories,,Thoughts
The Yiddish Policemen's Union,"Chabon, Michael",0,,4,2007,,0,religion,0,,,,1,,,1,,,11,
The Rain Before it Falls,"Coe, Jonathan",0,,2,2007,,0,,0,,,,,,,,,,1,
Diary of a Bad Year,"Coetzee, J.M.",0,,3,2007,,1,south africa,0,,,,,,,,,,2,
The Nigger of the 'Narcissus' and Other Stories,"Conrad, Joseph",0,,3,2007,,0,maritime,0,,,,,,,,,1,7,
Falling Man,"DeLillo, Don",0,,2,2007,,1,america,0,,,,,,,,,,6,
Engleby,"Faulks, Sebastian",0,,3,2007,,0,,0,,,,,,,,,,1,
First Among Sequels,"Fforde, Jasper",0,Thursday Next 5,3,2007,,0,book-related,0,,,,,,1,,,,9,
The Reavers,"Fraser, George MacDonald",0,,2,2007,,1,,0,,,1,,,1,1,,,5,
The Ingenious Edgar Jones,"Garner, Elizabeth",1,,3,2007,,0,gothic,0,,,,,,,1,,,1,
The Court of the Air ,"Hunt, Stephen",0,Jackelian 1,1,2007,,0,,0,,,,,,,,,,1,
This Is How,"Hyland, M.J.",1,,3,2007,,1,,0,,,,,,,,,,3,
Un Lun Dun,"Miéville, China",0,,2,2007,,0,,0,,,,,,,,,,10,
Making Money,"Pratchett, Terry",0,Discworld 36,3,2007,,0,,0,,,,,,,,,,32,
Unseen Academicals,"Pratchett, Terry",0,Discworld 37,3,2007,,0,,0,,,1,,,1,,,,32,
Harry Potter and the Deathly Hallows ,"Rowling, J.K.",1,Harry Potter 7,2,2007,,0,,0,,,,,,,,,,5,
Cold Comfort Farm,"West, Clare",1,,4,2007,,1,,0,,,,,,,,,,1,
The Stone Gods,"Winterson, Jeanette",1,,3,2007,,0,,0,,,,,,,,,,7,
House of Meetings,"Amis, Martin",0,,3,2006,,0,russia,0,,,,,,,1,,,6,
Kingdom Come,"Ballard, J.G.",0,,4,2006,,0,,0,,,,,,,,,,20,
