Title,Author ,MF,Series,Rating,Year,Date Read,Owned?,Keywords,Century,Drama,SF,Fantasy,Detectives,Spies,Comedy,History,Non-fiction,Stories,,Thoughts
And the Ass Saw the Angel,"Cave, Nick",0,,3,1989,,1,"america, gothic, religion",0,,,,,,,,,,1,
The Remains of the Day,"Ishiguro, Kazuo",0,,4,1989,,0,,0,,,,,,,,,,5,
Guards! Guards! ,"Pratchett, Terry",0,Discworld 8,4,1989,,0,,0,,,,,,,,,,32,
Pyramids,"Pratchett, Terry",0,Discworld 7,0,1989,,0,,0,,,,,,,,,,32,
Running Wild,"Ballard, J.G.",0,,3,1988,,0,,0,,,,,,,,,,20,
The Player of Games ,"Banks, Iain M.",0,Culture 2,3,1988,,0,,0,,1,,,,,,,,13,
Any Old Iron,"Burgess, Anthony",0,,4,1988,,0,wales,0,,,,,,,,,,4,
The Mysteries of Pittsburgh,"Chabon, Michael",0,,3,1988,,0,america,0,,,,,,1,,,,11,
The Alchemist,"Coelho, Paulo",0,,1,1988,,0,,0,,,,,,,,,,1,
Ratking,"Dibdin, Michael",0,Aurelio Zen 1,0,1988,,0,,0,,,,1,,,,,,1,
Foucault's Pendulum,"Eco, Umberto",0,,5,1988,,0,,0,,,,,,,,,,7,
Preludes and Nocturnes,"Gaiman, Neil",0,Sandman 1,3,1988,,0,graphic novel,0,,,1,,,,,,,10,
Nice Work,"Lodge, David",0,,0,1988,,0,,0,,,,,,,,,,4,
Dance Dance Dance,"Murakami, Haruki",0,,3,1988,,1,,0,,,,,,,,,,6,
Wyrd Sisters,"Pratchett, Terry",0,Discworld 6,3,1988,,0,,0,,,,,,,,,,32,
Sourcery,"Pratchett, Terry",0,Discworld 5,0,1988,,0,,0,,,,,,,,,,32,
The Satanic Verses,"Rushdie, Salman",0,,4,1988,,1,,0,,,,,,,,,,7,
The New York Trilogy,"Auster, Paul",0,,3,1987,,0,,0,,,,1,,,,,,3,
The Day of Creation,"Ballard, J.G.",0,,3,1987,,0,,0,,,,,,,,,,20,
Espedair Street,"Banks, Iain",0,,3,1987,,0,music,0,,,,,,,,,,14,
Consider Phlebas ,"Banks, Iain M.",0,Culture 1,2,1987,,0,,0,,1,,,,,,,,13,
Watchmen,"Moore, Alan",0,,4,1987,,0,graphic novel,0,,,,,,,,,,1,
Norwegian Wood,"Murakami, Haruki",0,,3,1987,,0,,0,,,,,,,,,,6,
Equal Rites ,"Pratchett, Terry",0,Discworld 3,4,1987,,0,,0,,,,,,,,,,32,
Mort,"Pratchett, Terry",0,Discworld 4,4,1987,,0,,0,,,,,,,,,,32,
The Passion,"Winterson, Jeanette",1,,4,1987,,0,,0,,,,,,,,,,7,
Milton in America,"Ackroyd, Peter",0,,3,1986,,0,book-related,0,,,,,,,1,,,6,
The Old Devils,"Amis, Kingsley",0,,3,1986,,0,wales,0,,,,,,1,,,,5,
The Bridge,"Banks, Iain",0,,4,1986,,1,,0,,,1,,,,,,,14,
A Perfect Spy,"Carre, John le",0,,0,1986,,0,,0,,,,,1,,,,,3,
Anagrams,"Moore, Lorrie",1,,4,1986,,0,,0,,,,,,,,,,4,
The Light Fantastic ,"Pratchett, Terry",0,Discworld 2,2,1986,,0,,0,,,,,,,,,,32,
The Golden Gate,"Seth, Vikram",0,,3,1986,,0,,0,,,,,,,,,,1,
Hawksmoor,"Ackroyd, Peter",0,,3,1985,,0,"london, gothic",0,,,,1,,,1,,,6,
The Handmaid's Tale,"Atwood, Margaret",1,,4,1985,,1,utopia,0,,1,,,,,,,,14,
Walking on Glass,"Banks, Iain",0,,4,1985,,0,,0,,,1,,,,,,,14,
The Good Terrorist,"Lessing, Doris",1,,4,1985,,0,,0,,,,,,,,,,2,
Hard-Boiled Wonderland and the End of the World,"Murakami, Haruki",0,,4,1985,,0,,0,,,,,,,,,,6,
Perfume: The Story of a Murderer,"Suskind, Patrick",0,,4,1985,,1,,0,,,,,,,,,,1,
Galapagos,"Vonnegut, Kurt",0,,2,1985,,1,,0,,,,,,,,,,5,
Money: A Suicide Note,"Amis, Martin",0,,4,1984,,0,"america, london",0,,,,,,1,,,,6,
Empire of the Sun,"Ballard, J.G.",0,,4,1984,,1,,0,,,,,,,1,,,20,
The Wasp Factory,"Banks, Iain",0,,3,1984,,0,gothic,0,,,,,,,,,,14,
Neuromancer,"Gibson, William",0,Sprawl 1,1,1984,,1,cyberpunk,0,,1,,,,,,,,6,
God Knows,"Heller, Joseph",0,,3,1984,,0,,0,,,,,,,,,,3,
The Glamour,"Priest, Christopher",0,,3,1984,,0,,0,,,,,,,,,,6,
Fantastic Tales: Visionary and Everyday,"Calvino, Italo",0,,0,1983,,1,gothic,0,,,,,,,,,1,5,
Glengarry Glen Ross,"Mamet, David",0,,4,1983,,0,,0,1,,,,,,,,,2,
The Color of Magic ,"Pratchett, Terry",0,Discworld 1,2,1983,,0,,0,,,,,,,,,,32,
"If Not Now, When?","Levi, Primo",0,,0,1982,,0,,0,,,,,,,,,,2,
Hello America,"Ballard, J.G.",0,,4,1981,,0,"america, apocalyptic",0,,1,,,,,,,,20,
The Turn of the Screw and Other Short Fiction,"James, Henry",0,,3,1981,,1,,0,,,,,,,,,1,1,
Midnight's Children,"Rushdie, Salman",0,,3,1981,,1,,0,,,,,,,,,,7,
The Name of the Rose,"Eco, Umberto",0,,4,1980,,1,religion,14,,,,1,,,1,,,7,
The Unlimited Dream Company,"Ballard, J.G.",0,,4,1979,,1,,0,,1,1,,,,,,,20,
If This Is a Man / The Truce,"Levi, Primo",0,,0,1979,,0,,0,,,,,,,,,,2,
The Cement Garden,"McEwan, Ian",0,,3,1978,,0,,0,,,,,,,,,,6,
"The Sea, the Sea","Murdoch, Iris",1,,4,1978,,1,,0,,,,,,,,,,10,
The Passion of New Eve,"Carter, Angela",1,,4,1977,,0,,0,,1,,,,,,,,6,
Flashman's Lady ,"Fraser, George MacDonald",0,Flashman 6,4,1977,,0,,0,,,,,,1,1,,,5,
The Alteration,"Amis, Kingsley",0,,4,1976,,0,religion,0,,,,,,,1,,,5,
High-Rise,"Ballard, J.G.",0,,4,1975,,1,,0,,,,,,,,,,20,
Changing Places,"Lodge, David",0,,0,1975,,0,,0,,,,,,,,,,4,
American Buffalo,"Mamet, David",0,,4,1975,,0,,0,1,,,,,,,,,2,
A Word Child,"Murdoch, Iris",1,,2,1975,,1,,0,,,,,,,,,,10,
The Ebony Tower,"Fowles, John",0,,4,1974,,1,,0,,,,,,,,,1,5,
Crash,"Ballard, J.G.",0,,3,1973,,1,,0,,,,,,,,,,20,
Red Shift,"Garner, Alan",0,,0,1973,,0,,0,,,,,,,,,,3,
The Honorary Consul,"Greene, Graham",0,,3,1973,,0,,0,,,,,,,,,,13,
The Black Prince,"Murdoch, Iris",1,,4,1973,,0,,0,,,,,,,,,,10,
Mf,"Burgess, Anthony",0,,3,1971,,0,,0,,,,,,,,,,4,
Flash for Freedom! ,"Fraser, George MacDonald",0,Flashman 3,3,1971,,0,,0,,,,,,1,1,,,5,
An Accidental Man,"Murdoch, Iris",1,,4,1971,,0,,0,,,,,,,,,,10,
The Dice Man,"Rhinehart, Luke",0,,1,1971,,1,,0,,,,,,,,,,1,
Fear and Loathing in Las Vegas,"Thompson, Hunter S.",0,,4,1971,,1,,0,,,,,,,,,,1,
The Atrocity Exhibition,"Ballard, J.G.",0,,3,1970,,0,,0,,,,,,,,,,20,
Flashman ,"Fraser, George MacDonald",0,Flashman 1,3,1969,,1,,0,,,,,,1,1,,,5,
Travels With My Aunt,"Greene, Graham",0,,3,1969,,0,,0,,,,,,,,,,13,
Dune Messiah,"Herbert, Frank",0,Dune 2,2,1969,,1,,0,,,,,,,,,,2,
Colonel Sun,"Amis, Kingsley",0,,0,1968,,0,,0,,,,,1,,,,,5,
Spring Snow,"Mishima, Yukio",0,,3,1968,,0,,0,,,,,,,,,,1,
The Magic Toyshop,"Carter, Angela",1,,3,1967,,0,magic realism,0,,,1,,,,,,,6,
Counter-Clock World,"Dick, Philip K.",0,,2,1967,,0,,0,,1,,,,,,,,4,
The Owl Service,"Garner, Alan",0,,0,1967,,0,,0,,,,,,,,,,3,
The Crystal World,"Ballard, J.G.",0,,4,1966,,1,apocalyptic,0,,1,,,,,,,,20,
The Master and Margarita,"Bulgakov, Mikhail",0,,5,1966,,0,"book-related, russia",0,,,1,,,1,,,,3,
Shadow Dance,"Carter, Angela",1,,3,1966,,0,magic-realism,0,,,,,,,,,,6,
The Comedians,"Greene, Graham",0,,4,1966,,0,,0,,,,,,,,,,13,
Black Snow,"Bulgakov, Mikhail",0,,3,1965,,0,book-related,0,,,,,,1,,,,3,
The Magus,"Fowles, John",0,,5,1965,,1,greece,0,,,,,,,,,,5,
Elidor,"Garner, Alan",0,,0,1965,,0,,0,,,,,,,,,,3,
Dune,"Herbert, Frank",0,Dune 1,4,1965,,1,,0,,,,,,,,,,2,
The British Museum Is Falling Down,"Lodge, David",0,,0,1965,,0,,0,,,,,,,,,,4,
The Crying of Lot 49,"Pynchon, Thomas",0,,2,1965,,0,,0,,,,,,,,,,3,
A Streetcar Named Desire and Other Plays,"Williams, Tennessee",0,,4,1965,,1,,0,1,,,,,,,,,3,
Greybeard,"Aldiss, Brian W.",0,,3,1964,,0,apocalyptic,0,,1,,,,,,,,3,
The Drought ,"Ballard, J.G.",0,,4,1964,,0,apocalyptic,0,,1,,,,,,,,20,
The Spire,"Golding, William",0,,3,1964,,0,religion,0,,,,,,,1,,,2,
The Collector,"Fowles, John",0,,3,1963,,1,,0,,,,,,,,,,5,
Cat's Cradle,"Vonnegut, Kurt",0,,3,1963,,0,,0,,,,,,,,,,5,
Who's Afraid of Virginia Woolf?,"Albee, Edward",0,,4,1962,,0,america,0,1,,,,,1,,,,2,
Hothouse,"Aldiss, Brian W.",0,,3,1962,,0,apocalyptic,0,,1,,,,,,,,3,
The Drowned World,"Ballard, J.G.",0,,4,1962,,0,apocalyptic,0,,1,,,,,,,,20,
Labyrinths: Selected Stories and Other Writings,"Borges, Jorge Luis",0,,4,1962,,1,,0,,,,,,,,,1,2,
A Clockwork Orange,"Burgess, Anthony",0,,4,1962,,1,near future,0,,1,,,,,,,,4,
The Man in the High Castle,"Dick, Philip K.",0,,1,1962,,0,,0,,1,,,,,1,,,4,
One Flew Over the Cuckoo's Nest,"Kesey, Ken",0,,4,1962,,1,,0,,,,,,,,,,1,
Catch 22,"Heller, Joseph",0,,4,1961,,1,,0,,,,,,,,,,3,
Our Ancestors,"Calvino, Italo",0,,4,1960,,0,gothic,0,,,1,,,,,,,5,
The American Dream & The Zoo Story,"Albee, Edward",0,,4,1959,,0,america,0,1,,,,,1,,,,2,
Gormenghast,"Peake, Mervyn",0,Gormenghast 2,5,1959,,1,,0,,,,,,,,,,4,
Titus Alone,"Peake, Mervyn",0,Gormenghast 3,,1959,,,,0,,,,,,,,,,4,
Titus Groan,"Peake, Mervyn",0,Gormenghast 1,,1959,,,,0,,,,,,,,,,4,
The Sirens of Titan,"Vonnegut, Kurt",0,,3,1959,,0,,0,,,,,,,,,,5,
Non-Stop,"Aldiss, Brian W.",0,,4,1958,,0,,0,,1,,,,,,,,3,
Our Man in Havana,"Greene, Graham",0,,4,1958,,0,,0,,,,,1,,,,,13,
The World Jones Made,"Dick, Philip K.",0,,3,1956,,0,,0,,1,,,,,,,,4,
The Flight from the Enchanter,"Murdoch, Iris",1,,5,1956,,0,,0,,,,,,,,,,10,
The Greek Myths 1,"Graves, Robert",0,,0,1955,,1,classical,0,,,,,,,,,,1,
The Quiet American,"Greene, Graham",0,,4,1955,,0,vietnam,0,,,,,1,,,,,13,
The Lord of the Rings ,"Tolkien, J.R.R.",0,,3,1955,,1,,0,,,,,,,,,,1,
Cat on a Hot Tin Roof,"Williams, Tennessee",0,,4,1955,,0,,0,1,,,,,,,,,3,
Lucky Jim,"Amis, Kingsley",0,,4,1954,,0,campus,0,,,,,,1,,,,5,
Lord of the Flies,"Golding, William",0,,3,1954,,1,,0,,,,,,,,,,2,
Fahrenheit 451,"Bradbury, Ray",0,,3,1953,,1,,0,,1,,,,,,,,2,
The Long Goodbye ,"Chandler, Raymond",0,Philip Marlowe 6,4,1953,,0,america,0,,,,1,,,,,,3,
Player Piano,"Vonnegut, Kurt",0,,4,1952,,1,,0,,,,,,,,,,5,
Men at Arms ,"Waugh, Evelyn",0,,3,1952,,0,war,0,,,,,,1,,,,5,
The End of the Affair,"Greene, Graham",0,,1,1951,,0,"war, religion",0,,,,,,,,,,13,
The Catcher in the Rye,"Salinger, J.D.",0,,3,1951,,0,,0,,,,,,,,,,1,
The Day of the Triffids,"Wyndham, John",0,,3,1951,,0,,0,,,,,,,,,,1,
Death of a Salesman,"Miller, Arthur",0,,0,1949,,0,,0,1,,,,,,,,,2,
1984,"Orwell, George",0,,4,1949,,1,,0,,,,,,,,,,3,
The Third Man,"Greene, Graham",0,,4,1948,,0,,0,,,,,1,,,,,13,
The Path to the Spiders' Nests,"Calvino, Italo",0,,2,1947,,0,war,0,,,,,,,1,,,5,
All My Sons,"Miller, Arthur",0,,0,1947,,0,,0,1,,,,,,,,,2,
That Hideous Strength ,"Lewis, C.S.",0,Space 3,2,1945,,0,,0,,,,,,,,,,4,
Animal Farm,"Orwell, George",0,,4,1945,,0,,0,,,,,,,,,,3,
The Glass Menagerie,"Williams, Tennessee",0,,5,1945,,0,,0,1,,,,,,,,,3,
Perelandra,"Lewis, C.S.",0,Space 2,3,1944,,0,,0,,,,,,,,,,4,
The Screwtape Letters,"Lewis, C.S.",0,,0,1942,,1,religion,0,,,,,,,,,,4,
Sick Heart River ,"Buchan, John",0,Edward Leithen 5,0,1941,,1,,0,,,,,,,,,,9,
Long Day's Journey Into Night,"O'Neill, Eugene",0,,4,1941,,0,,0,,,,,,,,,,1,
"Farewell, My Lovely ","Chandler, Raymond",0,Philip Marlowe 2,4,1940,,0,america,0,,,,1,,,,,,3,
The Power and the Glory,"Greene, Graham",0,,4,1940,,1,"mexico, religion",0,,,,,,,,,,13,
The Big Sleep,"Chandler, Raymond",0,Philip Marlowe 1,4,1939,,0,america,0,,,,1,,,,,,3,
Brighton Rock,"Greene, Graham",0,,0,1938,,0,,0,,,,,,,,,,13,
Out of the Silent Planet ,"Lewis, C.S.",0,Space 1,3,1938,,1,,0,,,,,,,,,,4,
Rebecca,"Maurier, Daphne du",1,,3,1938,,0,gothic,0,,,,,,,,,,1,
Scoop,"Waugh, Evelyn",0,,4,1937,,0,,0,,,,,,,,,,5,
The Island Of Sheep,"Buchan, John",0,,0,1936,,0,,0,,,,,,,,,,9,
Down and Out in Paris and London,"Orwell, George",0,,4,1933,,0,,0,,,,,,,,,,3,
The Gap In The Curtain,"Buchan, John",0,,0,1932,,1,,0,,,,,,,,,,9,
Orient Express,"Greene, Graham",0,,0,1932,,0,,0,,,,,,,,,,13,
The Glass Key,"Hammett, Dashiell",0,,3,1931,,1,,0,,,,,,,,,,4,
Brave New World,"Huxley, Aldous",0,,3,1931,,1,,0,,,,,,,,,,1,
Highland Fling,"Mitford, Nancy",1,,3,1931,,1,,0,,,,,,1,,,,6,
The Maltese Falcon,"Hammett, Dashiell",0,,4,1930,,1,,0,,,,,,,,,,4,
Vile Bodies,"Waugh, Evelyn",0,,3,1930,,0,,0,,,,,,,,,,5,
The Dain Curse,"Hammett, Dashiell",0,,3,1929,,1,,0,,,,,,,,,,4,
Red Harvest,"Hammett, Dashiell",0,,2,1929,,1,,0,,,,,,,,,,4,
Decline and Fall,"Waugh, Evelyn",0,,3,1928,,0,,0,,,,,,,,,,5,
The Complete Sherlock Holmes,"Doyle, Arthur Conan",0,,0,1927,,1,,0,,,,1,,,,,1,1,
The Complete Short Stories,"Wells, H.G.",0,,3,1927,,1,,0,,,,,,,,,1,6,
The Fatal Eggs,"Bulgakov, Mikhail",0,,3,1925,,0,,0,,1,,,,1,,,,3,
The Great Gatsby,"Fitzgerald, F. Scott",0,,5,1925,,1,america,0,,,,,,,,,,1,
The Trial,"Kafka, Franz",0,,2,1925,,0,,0,,,,,,,,,,1,
Mrs. Dalloway,"Woolf, Virginia",1,,2,1925,,0,,0,,,,,,,,,,1,
The Three Hostages ,"Buchan, John",0,Richard Hannay 4,0,1924,,1,,0,,,,,,,,,,9,
A Passage to India,"Forster, E.M.",0,,4,1924,,1,india,0,,,,,,,,,,1,
Huntingtower,"Buchan, John",0,,0,1922,,0,,0,,,,,,,,,,9,
Mr. Standfast ,"Buchan, John",0,Richard Hannay 3,0,1919,,0,,0,,,,,,,,,,9,
Greenmantle,"Buchan, John",0,Richard Hannay 2,0,1916,,0,,0,,,,,,,,,,9,
The 39 Steps ,"Buchan, John",0,Richard Hannay 1,4,1915,,1,,0,,,,,1,,,,,9,
Victory,"Conrad, Joseph",0,,4,1915,,1,maritime,0,,,,,,,,,,7,
The Shadow-Line,"Conrad, Joseph",0,,3,1915,,0,maritime,0,,,,,,,,,,7,
The Good Soldier,"Ford, Ford Madox",0,,2,1915,,0,,0,,,,,,,,,,1,
Dubliners,"Joyce, James",0,,3,1914,,0,,0,,,,,,,,,1,1,
Prester John,"Buchan, John",0,,0,1910,,0,,0,,,,,,,,,,9,
The Complete Father Brown Stories,"Chesterton, G.K.",0,,5,1910,,1,,0,,,,1,,,,,1,3,
The Secret Sharer,"Conrad, Joseph",0,,3,1910,,0,maritime,0,,,,,,,,,,7,
The Man Who Was Thursday: A Nightmare,"Chesterton, G.K.",0,,4,1908,,1,religion,0,,,1,,1,,,,,3,
The Secret Agent,"Conrad, Joseph",0,,4,1907,,0,,0,,,,,1,,,,,7,
Complete Works of Oscar Wilde,"Wilde, Oscar",0,,4,1907,,1,,0,1,,,,,,,,1,2,
Lord Jim,"Conrad, Joseph",0,,5,1900,,1,maritime,0,,,,,,,,,,7,
Heart of Darkness,"Conrad, Joseph",0,,5,1899,,1,maritime,0,,,,,,,,,,7,
When the Sleeper Wakes,"Wells, H.G.",0,,0,1899,,0,,0,,,,,,,,,,6,
The War of the Worlds,"Wells, H.G.",0,,3,1898,,0,,0,,,,,,,,,,6,
Dracula,"Stoker, Bram",0,,4,1897,,1,,0,,,,,,,,,,1,
The Invisible Man,"Wells, H.G.",0,,3,1897,,0,,0,,,,,,,,,,6,
The Island of Dr. Moreau,"Wells, H.G.",0,,4,1896,,0,,0,,,,,,,,,,6,
The Time Machine,"Wells, H.G.",0,,3,1895,,1,,0,,,,,,,,,,6,
The Great God Pan,"Machen, Arthur",0,,2,1894,,0,,0,,,,,,,,,,1,
News from Nowhere,"Morris, William",0,,3,1890,,0,,0,,,,,,,,,,1,
The Picture of Dorian Gray,"Wilde, Oscar",0,,4,1890,,0,,0,,,,,,,,,,2,
Allan Quatermain,"Haggard, H. Rider",0,,0,1887,,0,,0,,,,,,,,,,3,
She ,"Haggard, H. Rider",0,,0,1886,,1,,0,,,,,,,,,,3,
The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",0,,3,1886,,0,,0,,,,,,,,,,1,
King Solomon's Mines,"Haggard, H. Rider",0,,0,1885,,1,,0,,,,,,,,,,3,
The Brothers Karamazov,"Dostoyevsky, Fyodor",0,,4,1880,,1,"russia, religion",0,,,,,,,,,,3,
Erewhon ,"Butler, Samuel",0,,3,1872,,0,utopia,0,,1,,,,,,,,1,
Carmilla,"Fanu, J. Sheridan Le",0,,4,1872,,0,,0,,,,,,,,,,2,
The Coming Race,"Bulwer-Lytton, Edward",0,,2,1871,,0,,0,,1,,,,,,,,1,
The Idiot,"Dostoyevsky, Fyodor",0,,4,1869,,1,"russia, ",0,,,,,,,,,,3,
Crime and Punishment,"Dostoyevsky, Fyodor",0,,4,1866,,1,"russia, ",0,,,,,,,,,,3,
Alice's Adventures in Wonderland and Through the Looking-Glass,"Carroll, Lewis",0,,3,1865,,1,,0,,,1,,,,,,,1,
Uncle Silas,"Fanu, J. Sheridan Le",0,,3,1864,,0,,0,,,,,,,,,,2,
Great Expectations,"Dickens, Charles",0,,0,1861,,1,,0,,,,,,,,,,4,
The Woman in White,"Collins, Wilkie",0,,2,1859,,0,,0,,,,1,,,,,,1,
Madame Bovary,"Flaubert, Gustave",0,,4,1856,,1,france,0,,,,,,,,,,1,
Hard Times,"Dickens, Charles",0,,0,1854,,1,,0,,,,,,,,,,4,
Wuthering Heights,"Bronte, Emily",1,,4,1847,,1,gothic,0,,,,,,,,,,1,
Dead Souls,"Gogol, Nikolai",0,,3,1842,,0,russia,0,,,,,,1,,,,1,
Nightmare Abbey & Crotchet Castle,"Peacock, Thomas Love",0,,4,1830,,,Gothic,0,1,,,,,1,,,,1,
Confessions of an English Opium Eater,"Quincey, Thomas de",0,,4,1821,,0,,0,,,,,,,,,,1,
Persuasion,"Austen, Jane",1,,3,1818,,0,,0,,,,,,1,,,,3,
Frankenstein,"Shelley, Mary",1,,4,1818,,1,,0,,,,,,,,,,1,
Northanger Abbey,"Austen, Jane",1,,4,1817,,0,gothic,0,,,,,,1,,,,3,
Old Mortality,"Scott, Walter",0,,0,1816,,0,scotland,17,,,,,,,1,,,2,
Waverley,"Scott, Walter",0,,0,1814,,0,scotland,18,,,,,,,1,,,2,
Pride and Prejudice,"Austen, Jane",1,,4,1813,,0,,0,,,,,,1,,,,3,
The Monk,"Lewis, Matthew Gregory",0,,2,1796,,1,,0,,,,,,,,,,1,
Vathek,"Beckford, William",0,,3,1786,,0,gothic,0,,,,,,,,,,1,
The Pilgrim's Progress,"Bunyan, John",0,,4,1678,,1,religion,0,,,,,,,,,,1,
The New Atlantis,"Bacon, Francis",0,,3,1624,,0,,0,,1,,,,,,,,1,
The Complete Plays,"Marlowe, Christopher",0,,5,1592,,1,,0,1,,,,,,,,,1,
Le Morte d'Arthur: King Arthur and the Legends of the Round Table,"Malory, Thomas",0,,4,1485,,1,,0,,,,,,,,,,1,
Soul Music ,"Pratchett, Terry",0,Discworld 16,,,,,,0,,,,,,,,,,32,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,0,
